line,level,parent_old_section,heading
1,1,,Performance-First Relational Database — Architecture Contract
9,2,0,0. How Codex should use this file
34,1,1,1. Project Goal
51,1,2,2. Non-Goals
73,1,3,3. Architectural Principles
75,2,3,3.1 Layering
112,2,3,3.2 Correctness before micro-optimization
125,2,3,3.3 Performance model
142,1,4,4. Platform
144,2,4,LOCKED: Linux-first
164,1,5,5. Implementation Language
166,2,5,LOCKED: C++20
174,3,5,Why C++20 was selected
196,3,5,Locked rationale
213,1,6,6. Persistent Storage Model
215,2,6,LOCKED: page-oriented storage
242,1,7,7. File Organization
244,2,7,LOCKED: multiple database files
270,1,8,8. Disk / I/O Layer
272,2,8,"LOCKED: explicit I/O, not mmap"
295,3,8,Later experiments
307,1,9,9. On-Disk Serialization
309,2,9,LOCKED: explicit binary encoding
331,1,10,10. Table Storage
333,2,10,LOCKED: row-oriented heap tables
348,1,11,11. Heap Page Layout
350,2,11,LOCKED: slotted pages
388,1,12,12. Tuple Representation
390,2,12,LOCKED: compact binary tuples
415,1,13,13. Free-Space Management
417,2,13,LOCKED: explicit free-space metadata
427,1,14,14. Buffer Pool
429,2,14,LOCKED: explicit database-managed buffer pool
460,1,15,15. Buffer Replacement
462,2,15,LOCKED: CLOCK initially
484,1,16,16. Indexing
486,2,16,LOCKED: B+ tree as the primary general-purpose index
519,1,17,17. B+ Tree Concurrency
521,2,17,LOCKED: page latches separate from transaction locks
543,1,18,18. MVCC
545,2,18,LOCKED: Heap-version MVCC
553,3,18,Architecture
588,3,18,Locked rationale
608,1,19,19. Transaction Model
610,2,19,LOCKED: MVCC snapshots + explicit write conflict control
646,1,20,20. Locks
648,2,20,LOCKED: fine-grained logical locks for writes
664,1,21,21. Write-Ahead Log
666,2,21,LOCKED: WAL is mandatory
689,1,22,22. Commit Path
691,2,22,LOCKED: group commit
707,1,23,23. Buffer/WAL Policy
709,2,23,LOCKED: STEAL + NO-FORCE
711,3,23,NO-FORCE
715,3,23,STEAL
723,1,24,24. Crash Recovery
725,2,24,"LOCKED: ARIES-inspired recovery, implemented incrementally"
748,1,25,25. Checkpointing
750,2,25,LOCKED: fuzzy/background-compatible checkpoints
758,1,26,26. Vacuum / Garbage Collection
760,2,26,LOCKED if heap-version MVCC is selected
778,1,27,27. Catalog
780,2,27,LOCKED: relational system catalog
798,1,28,28. SQL Front End
800,2,28,LOCKED: implement our own limited parser
823,1,29,29. Binder
825,2,29,LOCKED: parser and binder are separate
844,1,30,30. Logical Query Representation
846,2,30,LOCKED: relational algebra-style logical plan
867,1,31,31. Query Rewrite
869,2,31,LOCKED: rule-based logical optimization before costing
886,1,32,32. Statistics
888,2,32,LOCKED: explicit table/column statistics
904,1,33,33. Cost-Based Optimizer
906,2,33,LOCKED
924,1,34,34. Join Ordering
926,2,34,LOCKED: dynamic programming for small join sets
936,1,35,35. Physical Operators
938,2,35,LOCKED: logical and physical plans are distinct
960,1,36,36. Execution Model
962,2,36,LOCKED: vectorized/chunk-at-a-time execution
999,1,37,37. Execution Data Layout
1001,2,37,LOCKED: typed vectors inside chunks
1031,1,38,38. Primary Join Algorithms
1033,2,38,LOCKED implementation order
1050,1,39,39. Aggregation
1052,2,39,LOCKED: hash aggregation first
1064,1,40,40. Sorting
1066,2,40,"LOCKED: in-memory sort first, external sort later"
1076,1,41,41. Query Memory Management
1078,2,41,LOCKED: query-scoped arenas/pools
1098,1,42,42. Parallelism
1100,2,42,"LOCKED: concurrency-ready architecture, parallel execution later"
1115,1,43,43. Threading / Shared State
