old_section,old_title,start_line,end_line,source_lines,rewrite_pass,source_role,locked_marker,rationale_present,migration,target,migration_status,notes
0,How Codex should use this file,9,33,25,1,AI_WORKFLOW,yes,no,MOVE_OUT_OF_ARCHITECTURE,AGENTS.md,MOVED_OUT_PASS1,"Agent-use instructions belong in AGENTS.md, not in the technical architecture contract. Agent/workflow instructions excluded from the new technical contract; their responsibility belongs to AGENTS.md. No architectural requirement was lost."
1,Project Goal,34,50,17,1,ARCHITECTURE_CONTRACT,no,no,REWRITE_CANONICALLY,ARCHITECTURE_NEW.md §1 — Scope and Design Goals,MIGRATED_PASS1,Preserve normative semantics; reorganize into the canonical subsystem chapter. Migrated to new §1.1–§1.2.
2,Non-Goals,51,72,22,1,ARCHITECTURE_CONTRACT,no,no,REWRITE_CANONICALLY,ARCHITECTURE_NEW.md §1 — Scope and Design Goals,MIGRATED_PASS1,Preserve normative semantics; reorganize into the canonical subsystem chapter. Migrated to new §1.3 and deferred-scope appendix.
3,Architectural Principles,73,141,69,1,ARCHITECTURE_CONTRACT,no,no,REWRITE_CANONICALLY,ARCHITECTURE_NEW.md §2 — System Architecture and Dependency Model,MIGRATED_PASS1,Preserve normative semantics; reorganize into the canonical subsystem chapter. Migrated to new §2; process-oriented testing/benchmark wording separated into §§41–42.
4,Platform,142,163,22,1,ARCHITECTURE_CONTRACT + RATIONALE,yes,yes,REWRITE_CANONICALLY,ARCHITECTURE_NEW.md §3 — Platform and Runtime Baseline,MIGRATED_PASS1,Preserve normative semantics; reorganize into the canonical subsystem chapter. Migrated to new §3.1 with rationale preserved.
5,Implementation Language,164,212,49,1,ARCHITECTURE_CONTRACT + RATIONALE,yes,yes,REWRITE_CANONICALLY,ARCHITECTURE_NEW.md §3 — Platform and Runtime Baseline,MIGRATED_PASS1,Preserve normative semantics; reorganize into the canonical subsystem chapter. Migrated to new §3.2 and §1.4 with technical rationale preserved and pros/cons condensed without changing the selected language.
6,Persistent Storage Model,213,241,29,1,ARCHITECTURE_OVERVIEW + ARCHITECTURAL_RATIONALE,yes,no,MERGE_AND_DEDUPLICATE,ARCHITECTURE_NEW.md §4 — Persistent Storage Foundations,MIGRATED_BASELINE_PASS1,Early high-level architecture overlaps later concrete sections; preserve unique rationale/constraints and merge into the later canonical contract. High-level page-oriented-storage commitments migrated to new §4.1; exact storage contract remains for Pass 2.
7,File Organization,242,269,28,1,ARCHITECTURE_OVERVIEW + ARCHITECTURAL_RATIONALE,yes,yes,MERGE_AND_DEDUPLICATE,ARCHITECTURE_NEW.md §4 — Persistent Storage Foundations,MIGRATED_BASELINE_PASS1,Early high-level architecture overlaps later concrete sections; preserve unique rationale/constraints and merge into the later canonical contract. High-level multi-file organization migrated to new §4.2; exact file-kind/file-layout rules remain for Pass 2.
8,Disk / I/O Layer,270,306,37,1,ARCHITECTURE_OVERVIEW + ARCHITECTURAL_RATIONALE,yes,yes,MERGE_AND_DEDUPLICATE,ARCHITECTURE_NEW.md §7 — I/O and Buffer Management,MIGRATED_BASELINE_PASS1,Early high-level architecture overlaps later concrete sections; preserve unique rationale/constraints and merge into the later canonical contract. Explicit-I/O/no-primary-mmap contract and future experiments migrated to new §7.1; concrete I/O semantics remain for Pass 5.
9,On-Disk Serialization,307,330,24,1,ARCHITECTURE_OVERVIEW + ARCHITECTURAL_RATIONALE,yes,no,MERGE_AND_DEDUPLICATE,ARCHITECTURE_NEW.md §4 — Persistent Storage Foundations,MIGRATED_BASELINE_PASS1,Early high-level architecture overlaps later concrete sections; preserve unique rationale/constraints and merge into the later canonical contract. Explicit serialization/little-endian/versioning baseline migrated to new §4.3; exact format rules remain for Pass 2+.
10,Table Storage,331,347,17,1,ARCHITECTURE_OVERVIEW + ARCHITECTURAL_RATIONALE,yes,yes,MERGE_AND_DEDUPLICATE,ARCHITECTURE_NEW.md §5 — Heap Storage and Tuple Format,MIGRATED_BASELINE_PASS1,Early high-level architecture overlaps later concrete sections; preserve unique rationale/constraints and merge into the later canonical contract. Row-oriented heap-table decision migrated to new §5.1.
11,Heap Page Layout,348,387,40,1,ARCHITECTURE_OVERVIEW + ARCHITECTURAL_RATIONALE,yes,no,MERGE_AND_DEDUPLICATE,ARCHITECTURE_NEW.md §5 — Heap Storage and Tuple Format,MIGRATED_BASELINE_PASS1,Early high-level architecture overlaps later concrete sections; preserve unique rationale/constraints and merge into the later canonical contract. Slotted-page/stable-RID overview migrated to new §5.2; exact page format remains for Pass 3.
12,Tuple Representation,388,414,27,1,ARCHITECTURE_OVERVIEW + ARCHITECTURAL_RATIONALE,yes,no,MERGE_AND_DEDUPLICATE,ARCHITECTURE_NEW.md §5 — Heap Storage and Tuple Format,MIGRATED_BASELINE_PASS1,Early high-level architecture overlaps later concrete sections; preserve unique rationale/constraints and merge into the later canonical contract. Compact schema-directed tuple overview and scalar family migrated to new §5.3; exact tuple format remains for Pass 3.
13,Free-Space Management,415,426,12,1,ARCHITECTURE_OVERVIEW + ARCHITECTURAL_RATIONALE,yes,no,MERGE_AND_DEDUPLICATE,ARCHITECTURE_NEW.md §6 — Free-Space Management and Physical Reclamation,MIGRATED_BASELINE_PASS1,Early high-level architecture overlaps later concrete sections; preserve unique rationale/constraints and merge into the later canonical contract. Explicit FSM subsystem/no-full-heap-space-scan requirement migrated to new §6.
14,Buffer Pool,427,459,33,1,ARCHITECTURE_OVERVIEW + ARCHITECTURAL_RATIONALE,yes,no,MERGE_AND_DEDUPLICATE,ARCHITECTURE_NEW.md §7 — I/O and Buffer Management,MIGRATED_BASELINE_PASS1,"Early high-level architecture overlaps later concrete sections; preserve unique rationale/constraints and merge into the later canonical contract. Explicit BufferPool, frame responsibilities, conceptual operation responsibilities, and RAII-guard requirement migrated to new §7.2."
15,Buffer Replacement,460,483,24,1,ARCHITECTURE_OVERVIEW + ARCHITECTURAL_RATIONALE,yes,yes,MERGE_AND_DEDUPLICATE,ARCHITECTURE_NEW.md §7 — I/O and Buffer Management,MIGRATED_BASELINE_PASS1,Early high-level architecture overlaps later concrete sections; preserve unique rationale/constraints and merge into the later canonical contract. CLOCK baseline and alternative-policy rationale migrated to new §7.3; concrete replacement contract remains for Pass 5.
16,Indexing,484,518,35,1,ARCHITECTURE_OVERVIEW + ARCHITECTURAL_RATIONALE,yes,no,MERGE_AND_DEDUPLICATE,ARCHITECTURE_NEW.md §8 — B+ Tree Indexing,MIGRATED_BASELINE_PASS1,"Early high-level architecture overlaps later concrete sections; preserve unique rationale/constraints and merge into the later canonical contract. B+ tree as primary index, required feature family, and RID leaf-reference baseline migrated to new §8."
17,B+ Tree Concurrency,519,542,24,1,ARCHITECTURE_OVERVIEW + ARCHITECTURAL_RATIONALE,yes,no,MERGE_AND_DEDUPLICATE,ARCHITECTURE_NEW.md §8 — B+ Tree Indexing,MIGRATED_BASELINE_PASS1,Early high-level architecture overlaps later concrete sections; preserve unique rationale/constraints and merge into the later canonical contract. Latch-vs-lock distinction and latch-coupling/crabbing baseline migrated to new §8.
18,MVCC,543,607,65,1,ARCHITECTURE_OVERVIEW + ARCHITECTURAL_RATIONALE,yes,yes,MERGE_AND_DEDUPLICATE,ARCHITECTURE_NEW.md §10 — MVCC Visibility and Tuple-Version Semantics,MIGRATED_BASELINE_PASS1,"Early high-level architecture overlaps later concrete sections; preserve unique rationale/constraints and merge into the later canonical contract. Heap-version MVCC selection, conceptual versioning, and rationale migrated to new §10; exact visibility remains Pass 7."
19,Transaction Model,608,645,38,1,ARCHITECTURE_OVERVIEW + ARCHITECTURAL_RATIONALE,yes,no,MERGE_AND_DEDUPLICATE,ARCHITECTURE_NEW.md §9 — Transaction Lifecycle and Snapshots,MIGRATED_BASELINE_PASS1,Early high-level architecture overlaps later concrete sections; preserve unique rationale/constraints and merge into the later canonical contract. Transaction states/ownership/isolation targets migrated to new §9; exact snapshot semantics remain Pass 7.
20,Locks,646,663,18,1,ARCHITECTURE_OVERVIEW + ARCHITECTURAL_RATIONALE,yes,no,MERGE_AND_DEDUPLICATE,ARCHITECTURE_NEW.md §11 — Logical Locking and Write Conflicts,MIGRATED_BASELINE_PASS1,Early high-level architecture overlaps later concrete sections; preserve unique rationale/constraints and merge into the later canonical contract. Fine-grained logical-locking baseline and lock/latch separation migrated to new §11.
21,Write-Ahead Log,664,688,25,1,ARCHITECTURE_OVERVIEW + ARCHITECTURAL_RATIONALE,yes,no,MERGE_AND_DEDUPLICATE,ARCHITECTURE_NEW.md §12 — Write-Ahead Logging and Commit Durability,MIGRATED_BASELINE_PASS1,Early high-level architecture overlaps later concrete sections; preserve unique rationale/constraints and merge into the later canonical contract. Mandatory WAL and WAL-before-data rule migrated to new §12.1; generic 'undo where necessary' retained only through concrete-recovery qualification.
22,Commit Path,689,706,18,1,ARCHITECTURE_OVERVIEW + ARCHITECTURAL_RATIONALE,yes,no,MERGE_AND_DEDUPLICATE,ARCHITECTURE_NEW.md §12 — Write-Ahead Logging and Commit Durability,MIGRATED_BASELINE_PASS1,Early high-level architecture overlaps later concrete sections; preserve unique rationale/constraints and merge into the later canonical contract. Group-commit requirement migrated to new §12.2.
23,Buffer/WAL Policy,707,722,16,1,ARCHITECTURE_OVERVIEW + ARCHITECTURAL_RATIONALE,yes,no,MERGE_AND_DEDUPLICATE,ARCHITECTURE_NEW.md §12 — Write-Ahead Logging and Commit Durability,MIGRATED_BASELINE_PASS1,Early high-level architecture overlaps later concrete sections; preserve unique rationale/constraints and merge into the later canonical contract. STEAL + NO-FORCE migrated to new §12.3.
24,Crash Recovery,723,747,25,1,ARCHITECTURE_OVERVIEW + ARCHITECTURAL_RATIONALE,yes,no,MERGE_AND_DEDUPLICATE,ARCHITECTURE_NEW.md §13 — Checkpointing and Crash Recovery,MIGRATED_REFINED_PASS1,Early high-level architecture overlaps later concrete sections; preserve unique rationale/constraints and merge into the later canonical contract. ARIES-inspired recovery baseline migrated to new §13 without preserving generic physical user-DML undo as independent v1 behavior; R-002 records the later explicit refinement.
25,Checkpointing,748,757,10,1,ARCHITECTURE_OVERVIEW + ARCHITECTURAL_RATIONALE,yes,no,MERGE_AND_DEDUPLICATE,ARCHITECTURE_NEW.md §13 — Checkpointing and Crash Recovery,MIGRATED_BASELINE_PASS1,Early high-level architecture overlaps later concrete sections; preserve unique rationale/constraints and merge into the later canonical contract. Fuzzy/background-compatible checkpoint requirement migrated to new §13.
26,Vacuum / Garbage Collection,758,777,20,1,ARCHITECTURE_OVERVIEW + ARCHITECTURAL_RATIONALE,yes,no,MERGE_AND_DEDUPLICATE,ARCHITECTURE_NEW.md §14 — Vacuum and Storage Reclamation,MIGRATED_BASELINE_PASS1,Early high-level architecture overlaps later concrete sections; preserve unique rationale/constraints and merge into the later canonical contract. Vacuum horizon/responsibility/manual-first baseline migrated to new §14.
27,Catalog,778,797,20,1,ARCHITECTURE_OVERVIEW + ARCHITECTURAL_RATIONALE,yes,no,MERGE_AND_DEDUPLICATE,ARCHITECTURE_NEW.md §16 — Catalog and Schema Metadata,MIGRATED_BASELINE_PASS1,Early high-level architecture overlaps later concrete sections; preserve unique rationale/constraints and merge into the later canonical contract. Relational catalog + bootstrap/self-hosting direction migrated to new §16.
28,SQL Front End,798,822,25,1,ARCHITECTURE_OVERVIEW + ARCHITECTURAL_RATIONALE,yes,yes,MERGE_AND_DEDUPLICATE,"ARCHITECTURE_NEW.md §18 — Lexer, Parser, and AST",MIGRATED_BASELINE_PASS1,Early high-level architecture overlaps later concrete sections; preserve unique rationale/constraints and merge into the later canonical contract. In-project limited SQL front end and parser/binder separation migrated to new §18.
29,Binder,823,843,21,1,ARCHITECTURE_OVERVIEW + ARCHITECTURAL_RATIONALE,yes,no,MERGE_AND_DEDUPLICATE,ARCHITECTURE_NEW.md §19 — Binding and Expression Semantics,MIGRATED_BASELINE_PASS1,Early high-level architecture overlaps later concrete sections; preserve unique rationale/constraints and merge into the later canonical contract. Binder responsibilities/stable IDs migrated to new §19.
