old_section,old_title,start_line,end_line,source_lines,rewrite_pass,source_role,locked_marker,rationale_present,migration,target,migration_status,notes
0,How Codex should use this file,9,33,25,1,AI_WORKFLOW,yes,no,MOVE_OUT_OF_ARCHITECTURE,AGENTS.md,PENDING,"Agent-use instructions belong in AGENTS.md, not in the technical architecture contract."
1,Project Goal,34,50,17,1,ARCHITECTURE_CONTRACT,no,no,REWRITE_CANONICALLY,ARCHITECTURE_NEW.md §1 — Scope and Design Goals,PENDING,Preserve normative semantics; reorganize into the canonical subsystem chapter.
2,Non-Goals,51,72,22,1,ARCHITECTURE_CONTRACT,no,no,REWRITE_CANONICALLY,ARCHITECTURE_NEW.md §1 — Scope and Design Goals,PENDING,Preserve normative semantics; reorganize into the canonical subsystem chapter.
3,Architectural Principles,73,141,69,1,ARCHITECTURE_CONTRACT,no,no,REWRITE_CANONICALLY,ARCHITECTURE_NEW.md §2 — System Architecture and Dependency Model,PENDING,Preserve normative semantics; reorganize into the canonical subsystem chapter.
4,Platform,142,163,22,1,ARCHITECTURE_CONTRACT + RATIONALE,yes,yes,REWRITE_CANONICALLY,ARCHITECTURE_NEW.md §3 — Platform and Runtime Baseline,PENDING,Preserve normative semantics; reorganize into the canonical subsystem chapter.
5,Implementation Language,164,212,49,1,ARCHITECTURE_CONTRACT + RATIONALE,yes,yes,REWRITE_CANONICALLY,ARCHITECTURE_NEW.md §3 — Platform and Runtime Baseline,PENDING,Preserve normative semantics; reorganize into the canonical subsystem chapter.
6,Persistent Storage Model,213,241,29,1,ARCHITECTURE_OVERVIEW + ARCHITECTURAL_RATIONALE,yes,no,MERGE_AND_DEDUPLICATE,ARCHITECTURE_NEW.md §4 — Persistent Storage Foundations,PENDING,Early high-level architecture overlaps later concrete sections; preserve unique rationale/constraints and merge into the later canonical contract.
7,File Organization,242,269,28,1,ARCHITECTURE_OVERVIEW + ARCHITECTURAL_RATIONALE,yes,yes,MERGE_AND_DEDUPLICATE,ARCHITECTURE_NEW.md §4 — Persistent Storage Foundations,PENDING,Early high-level architecture overlaps later concrete sections; preserve unique rationale/constraints and merge into the later canonical contract.
8,Disk / I/O Layer,270,306,37,1,ARCHITECTURE_OVERVIEW + ARCHITECTURAL_RATIONALE,yes,yes,MERGE_AND_DEDUPLICATE,ARCHITECTURE_NEW.md §7 — I/O and Buffer Management,PENDING,Early high-level architecture overlaps later concrete sections; preserve unique rationale/constraints and merge into the later canonical contract.
9,On-Disk Serialization,307,330,24,1,ARCHITECTURE_OVERVIEW + ARCHITECTURAL_RATIONALE,yes,no,MERGE_AND_DEDUPLICATE,ARCHITECTURE_NEW.md §4 — Persistent Storage Foundations,PENDING,Early high-level architecture overlaps later concrete sections; preserve unique rationale/constraints and merge into the later canonical contract.
10,Table Storage,331,347,17,1,ARCHITECTURE_OVERVIEW + ARCHITECTURAL_RATIONALE,yes,yes,MERGE_AND_DEDUPLICATE,ARCHITECTURE_NEW.md §5 — Heap Storage and Tuple Format,PENDING,Early high-level architecture overlaps later concrete sections; preserve unique rationale/constraints and merge into the later canonical contract.
11,Heap Page Layout,348,387,40,1,ARCHITECTURE_OVERVIEW + ARCHITECTURAL_RATIONALE,yes,no,MERGE_AND_DEDUPLICATE,ARCHITECTURE_NEW.md §5 — Heap Storage and Tuple Format,PENDING,Early high-level architecture overlaps later concrete sections; preserve unique rationale/constraints and merge into the later canonical contract.
12,Tuple Representation,388,414,27,1,ARCHITECTURE_OVERVIEW + ARCHITECTURAL_RATIONALE,yes,no,MERGE_AND_DEDUPLICATE,ARCHITECTURE_NEW.md §5 — Heap Storage and Tuple Format,PENDING,Early high-level architecture overlaps later concrete sections; preserve unique rationale/constraints and merge into the later canonical contract.
13,Free-Space Management,415,426,12,1,ARCHITECTURE_OVERVIEW + ARCHITECTURAL_RATIONALE,yes,no,MERGE_AND_DEDUPLICATE,ARCHITECTURE_NEW.md §6 — Free-Space Management and Physical Reclamation,PENDING,Early high-level architecture overlaps later concrete sections; preserve unique rationale/constraints and merge into the later canonical contract.
14,Buffer Pool,427,459,33,1,ARCHITECTURE_OVERVIEW + ARCHITECTURAL_RATIONALE,yes,no,MERGE_AND_DEDUPLICATE,ARCHITECTURE_NEW.md §7 — I/O and Buffer Management,PENDING,Early high-level architecture overlaps later concrete sections; preserve unique rationale/constraints and merge into the later canonical contract.
15,Buffer Replacement,460,483,24,1,ARCHITECTURE_OVERVIEW + ARCHITECTURAL_RATIONALE,yes,yes,MERGE_AND_DEDUPLICATE,ARCHITECTURE_NEW.md §7 — I/O and Buffer Management,PENDING,Early high-level architecture overlaps later concrete sections; preserve unique rationale/constraints and merge into the later canonical contract.
16,Indexing,484,518,35,1,ARCHITECTURE_OVERVIEW + ARCHITECTURAL_RATIONALE,yes,no,MERGE_AND_DEDUPLICATE,ARCHITECTURE_NEW.md §8 — B+ Tree Indexing,PENDING,Early high-level architecture overlaps later concrete sections; preserve unique rationale/constraints and merge into the later canonical contract.
17,B+ Tree Concurrency,519,542,24,1,ARCHITECTURE_OVERVIEW + ARCHITECTURAL_RATIONALE,yes,no,MERGE_AND_DEDUPLICATE,ARCHITECTURE_NEW.md §8 — B+ Tree Indexing,PENDING,Early high-level architecture overlaps later concrete sections; preserve unique rationale/constraints and merge into the later canonical contract.
18,MVCC,543,607,65,1,ARCHITECTURE_OVERVIEW + ARCHITECTURAL_RATIONALE,yes,yes,MERGE_AND_DEDUPLICATE,ARCHITECTURE_NEW.md §10 — MVCC Visibility and Tuple-Version Semantics,PENDING,Early high-level architecture overlaps later concrete sections; preserve unique rationale/constraints and merge into the later canonical contract.
19,Transaction Model,608,645,38,1,ARCHITECTURE_OVERVIEW + ARCHITECTURAL_RATIONALE,yes,no,MERGE_AND_DEDUPLICATE,ARCHITECTURE_NEW.md §9 — Transaction Lifecycle and Snapshots,PENDING,Early high-level architecture overlaps later concrete sections; preserve unique rationale/constraints and merge into the later canonical contract.
20,Locks,646,663,18,1,ARCHITECTURE_OVERVIEW + ARCHITECTURAL_RATIONALE,yes,no,MERGE_AND_DEDUPLICATE,ARCHITECTURE_NEW.md §11 — Logical Locking and Write Conflicts,PENDING,Early high-level architecture overlaps later concrete sections; preserve unique rationale/constraints and merge into the later canonical contract.
21,Write-Ahead Log,664,688,25,1,ARCHITECTURE_OVERVIEW + ARCHITECTURAL_RATIONALE,yes,no,MERGE_AND_DEDUPLICATE,ARCHITECTURE_NEW.md §12 — Write-Ahead Logging and Commit Durability,PENDING,Early high-level architecture overlaps later concrete sections; preserve unique rationale/constraints and merge into the later canonical contract.
22,Commit Path,689,706,18,1,ARCHITECTURE_OVERVIEW + ARCHITECTURAL_RATIONALE,yes,no,MERGE_AND_DEDUPLICATE,ARCHITECTURE_NEW.md §12 — Write-Ahead Logging and Commit Durability,PENDING,Early high-level architecture overlaps later concrete sections; preserve unique rationale/constraints and merge into the later canonical contract.
23,Buffer/WAL Policy,707,722,16,1,ARCHITECTURE_OVERVIEW + ARCHITECTURAL_RATIONALE,yes,no,MERGE_AND_DEDUPLICATE,ARCHITECTURE_NEW.md §12 — Write-Ahead Logging and Commit Durability,PENDING,Early high-level architecture overlaps later concrete sections; preserve unique rationale/constraints and merge into the later canonical contract.
24,Crash Recovery,723,747,25,1,ARCHITECTURE_OVERVIEW + ARCHITECTURAL_RATIONALE,yes,no,MERGE_AND_DEDUPLICATE,ARCHITECTURE_NEW.md §13 — Checkpointing and Crash Recovery,PENDING,Early high-level architecture overlaps later concrete sections; preserve unique rationale/constraints and merge into the later canonical contract.
25,Checkpointing,748,757,10,1,ARCHITECTURE_OVERVIEW + ARCHITECTURAL_RATIONALE,yes,no,MERGE_AND_DEDUPLICATE,ARCHITECTURE_NEW.md §13 — Checkpointing and Crash Recovery,PENDING,Early high-level architecture overlaps later concrete sections; preserve unique rationale/constraints and merge into the later canonical contract.
